Date,Open,High,Low,Close,Adj Close,Volume
2023-11-07,31.070000,31.250000,30.590000,30.760000,30.190165,1195500
2023-11-08,30.760000,31.040001,30.600000,30.750000,30.180351,1013100
2023-11-09,31.150000,31.405001,30.870001,30.889999,30.317757,2487600
2023-11-10,30.990000,31.200001,30.680000,31.049999,30.474792,1488500
2023-11-13,30.870001,31.350000,30.820000,31.200001,30.622015,832100
2023-11-14,32.029999,32.834999,31.590000,32.689999,32.084412,1861000
2023-11-15,32.770000,33.730000,32.759998,33.570000,32.948109,2129300
2023-11-16,33.389999,33.709999,33.259998,33.470001,32.849964,1222100
2023-11-17,33.730000,33.770000,33.220001,33.570000,32.948109,1612800
2023-11-20,33.400002,33.790001,33.250000,33.650002,33.026627,1274100
2023-11-21,33.529999,33.740002,33.060001,33.360001,32.742001,1290700
2023-11-22,33.380001,34.049999,33.130001,33.970001,33.340702,907700
2023-11-24,34.130001,34.279999,33.895000,33.970001,33.340702,385500
2023-11-27,33.799999,33.950001,33.580002,33.720001,33.095329,1091700
2023-11-28,33.689999,34.380001,33.450001,34.290001,33.654774,1393800
2023-11-29,34.020000,35.869999,33.980000,35.680000,35.348904,3081100
2023-11-30,35.810001,35.889999,34.820000,35.029999,34.704933,1989900
2023-12-01,34.869999,36.090000,34.799999,36.060001,35.725380,1884400
2023-12-04,35.570000,36.009998,35.150002,35.459999,35.130943,1241900
2023-12-05,35.180000,35.403000,34.939999,35.160000,34.833729,1276700
2023-12-06,35.520000,36.040001,35.470001,35.570000,35.239925,875600
2023-12-07,35.720001,36.110001,35.455002,36.040001,35.705563,2018100
2023-12-08,36.000000,36.299999,35.660000,35.900002,35.566864,1305100
2023-12-11,35.900002,36.070000,35.654999,35.980000,35.646118,624200
2023-12-12,35.980000,36.230000,35.889999,36.160000,35.824448,1178200
2023-12-13,36.320000,37.619999,35.820000,37.509998,37.161919,1897400
2023-12-14,38.209999,39.209999,38.000000,38.950001,38.588558,5343300
